,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,geometry,centers
0,CTWD Pasture 4,,,,,,-1,0,-1,,,"POLYGON Z ((-101.8542626547681 43.94387833343473 732.823469382176, -101.8542337153861 43.94528944059533 733.3654321089415, -101.8528813515474 43.94526329379746 732.9897297462634, -101.846364549841 43.94284386200564 740.2536635372402, -101.846384540221 43.93704508975292 760.0853420349191, -101.8504702151024 43.93705356182104 750.7545663291927, -101.8503851537633 43.94147756453513 746.9373833250103, -101.8535714141712 43.94354256827011 735.1007852673763, -101.8540233853877 43.94357862074882 732.7888928996838, -101.8540139501336 43.9438707062253 732.3770068441751, -101.8542626547681 43.94387833343473 732.823469382176))",POINT (-101.84937467050861 43.941174329864495)
1,CTWD Pasture 6,,,,,,-1,0,-1,,,"POLYGON Z ((-101.8602608568633 43.93009133404896 758.7926240535356, -101.860267305189 43.94528067701903 741.4387528375711, -101.8542428179294 43.94528344975048 733.1907001724328, -101.8542843331058 43.9438785154646 732.8547701119099, -101.8540324537756 43.94385497211918 732.3203281313522, -101.854045270008 43.94356776119647 732.89385810761, -101.8549774908116 43.94307734827176 737.8901008977197, -101.8549518229105 43.93005045523852 756.665929325595, -101.8602608568633 43.93009133404896 758.7926240535356))",POINT (-101.85755834960653 43.93779291007179)
2,SR_langum,,,,,,-1,0,-1,,,"POLYGON Z ((-96.99716742392448 44.24173396031066 529.4262956647564, -96.99439639524472 44.2421143684531 515.7323849634524, -96.9944469273598 44.23901219789869 513.0471324565325, -96.99699784043325 44.23906614977364 520.7108941753415, -96.99701433654992 44.23908445527877 533.5380713932952, -96.99716072158793 44.23943097243931 533.8467103971386, -96.99719736618943 44.23981308508115 534.155349400982, -96.99720946481735 44.24052905730755 533.7211064656991, -96.99719152619637 44.24108331402753 533.05122261271, -96.99722751951906 44.24142945006312 535.5462550579131, -96.99728211282842 44.24170992261053 530.7862962860861, -96.99716742392448 44.24173396031066 529.4262956647564))",POINT (-96.99577082261612 44.24049792682455)
3,SR_Lee,,,,,,-1,0,-1,,,"POLYGON Z ((-103.9157548069659 45.37318599992953 1173.503242437662, -103.9162236849953 45.37449773509611 1177.345014833427, -103.914964724498 45.37537561507453 1179.891570320926, -103.9139521361894 45.37369900992697 1173.546770484191, -103.9128156111009 45.37323837487487 1155.071465913353, -103.9140247128494 45.37284965751673 1171.360249391326, -103.9139542338604 45.37225624843265 1172.369992670425, -103.9128679501138 45.37177328226624 1166.063091763655, -103.9124092449143 45.37098621183555 1166.868022812075, -103.9129578967618 45.36965267723885 1166.993504985434, -103.9139000628642 45.36889419399272 1164.579112192744, -103.9154517647999 45.37008602994435 1166.62848975101, -103.9164613953871 45.3709369837697 1165.540631825324, -103.9161391394617 45.37162853246497 1166.272664754443, -103.9161303749654 45.37228786189857 1169.56325795659, -103.9157548069659 45.37318599992953 1173.503242437662))",POINT (-103.91456880820026 45.371892913935994)
4,SR_Sunde,,,,,,-1,0,-1,,,"POLYGON Z ((-102.4875024513948 45.06792521642847 832.1261350718279, -102.4876092371476 45.07503606802898 811.6372070252265, -102.4718132521967 45.07519377658865 799.2417904802307, -102.471323913018 45.06774959810681 805.3167996907254, -102.4875024513948 45.06792521642847 832.1261350718279))",POINT (-102.47950065700766 45.071462136427705)
5,SR_Ft_Meade,,,,,,-1,0,-1,,,"POLYGON Z ((-103.4635248659543 44.40547677654495 1018.675940750172, -103.4634459007108 44.41488002919512 997.6717496418435, -103.4530537103964 44.41533320398036 993.832835338043, -103.4535356417401 44.40205237240198 1022.761264432314, -103.4610586835391 44.40215376823291 1035.320810682858, -103.4635248659543 44.40547677654495 1018.675940750172))",POINT (-103.45821879191834 44.40882414514572)
6,HR_Blairs_Warm,,,,,,-1,0,-1,,,"POLYGON Z ((-103.4472321669554 44.51424062852067 934.3801494639564, -103.4472770749004 44.51895985638985 919.6541399717444, -103.4379015203723 44.51909165819371 910.8467606450024, -103.4379970505396 44.51447508147348 936.0423952539579, -103.4472321669554 44.51424062852067 934.3801494639564))",POINT (-103.44261943491543 44.51669735612357)
7,HR_Blairs_Cool,,,,,,-1,0,-1,,,"POLYGON Z ((-103.4468152574642 44.54709783921479 881.4578092028396, -103.4469854195101 44.56121712297881 876.5167654556701, -103.4378067118103 44.56120629472372 880.8775718084215, -103.4379563298117 44.5543113039572 878.9866760144131, -103.4279917370708 44.55422539505818 888.8763125649037, -103.4280672747767 44.54734540939887 889.7954063417166, -103.4468152574642 44.54709783921479 881.4578092028396))",POINT (-103.43908371514911 44.553003037493085)
8,SR_Pierre,,,,,,-1,0,-1,,,"POLYGON Z ((-100.0011226059373 44.36472117204436 544.8723026055171, -100.0011197341816 44.36749197856535 545.623751087363, -99.99724144393456 44.36757410566914 564.8011296841287, -99.99709148565915 44.36219492274112 556.322234530651, -99.99871682483244 44.36218523368849 550.8298474736732, -99.99875072841654 44.36406011151774 554.9536722662364, -100.0001134631682 44.36402527646988 549.6224957977397, -100.0000656302559 44.36468939288747 550.447142967817, -100.0011226059373 44.36472117204436 544.8723026055171))",POINT (-99.99885829117686 44.36534236945953)
9,HR_Daybreak_Cool,,,,,,-1,0,-1,,,"POLYGON Z ((-99.44253960272181 44.6420632047955 518.2431045720639, -99.45228000359133 44.64210033325276 518.2401400306362, -99.45230689743468 44.64925428535199 518.2407015526836, -99.44242967932479 44.64936934483781 515.223678716417, -99.44253960272181 44.6420632047955 518.2431045720639))",POINT (-99.44737185310068 44.645705210647904)
